symbol,name,exchange,sector
RELIANCE.NS,Reliance Industries Limited,NSE,
TCS.NS,Tata Consultancy Services Limited,NSE,
HDFCBANK.NS,HDFC Bank Limited,NSE,
INFY.NS,Infosys Limited,NSE,
ICICIBANK.NS,ICICI Bank Limited,NSE,
HINDUNILVR.NS,Hindustan Unilever Limited,NSE,
ITC.NS,ITC Limited,NSE,
SBIN.NS,State Bank of India,NSE,
BHARTIARTL.NS,Bharti Airtel Limited,NSE,
KOTAKBANK.NS,Kotak Mahindra Bank Limited,NSE,
LT.NS,Larsen & Toubro Limited,NSE,
AXISBANK.NS,Axis Bank Limited,NSE,
ASIANPAINT.NS,Asian Paints Limited,NSE,
MARUTI.NS,Maruti Suzuki India Limited,NSE,
TITAN.NS,Titan Company Limited,NSE,
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,NSE,
BAJFINANCE.NS,Bajaj Finance Limited,NSE,
WIPRO.NS,Wipro Limited,NSE,
ULTRACEMCO.NS,UltraTech Cement Limited,NSE,
ONGC.NS,Oil and Natural Gas Corporation Limited,NSE,
NTPC.NS,NTPC Limited,NSE,
POWERGRID.NS,Power Grid Corporation of India Limited,NSE,
TATAMOTORS.NS,Tata Motors Limited,NSE,
M&M.NS,Mahindra & Mahindra Limited,NSE,
JSWSTEEL.NS,JSW Steel Limited,NSE,
TATASTEEL.NS,Tata Steel Limited,NSE,
ADANIENT.NS,Adani Enterprises Limited,NSE,
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,NSE,
HCLTECH.NS,HCL Technologies Limited,NSE,
BAJAJFINSV.NS,Bajaj Finserv Limited,NSE,
TECHM.NS,Tech Mahindra Limited,NSE,
INDUSINDBK.NS,IndusInd Bank Limited,NSE,
COALINDIA.NS,Coal India Limited,NSE,
DRREDDY.NS,Dr. Reddy's Laboratories Limited,NSE,
CIPLA.NS,Cipla Limited,NSE,
EICHERMOT.NS,Eicher Motors Limited,NSE,
DIVISLAB.NS,Divi's Laboratories Limited,NSE,
BPCL.NS,Bharat Petroleum Corporation Limited,NSE,
GRASIM.NS,Grasim Industries Limited,NSE,
BRITANNIA.NS,Britannia Industries Limited,NSE,
NESTLEIND.NS,Nestle India Limited,NSE,
HEROMOTOCO.NS,Hero MotoCorp Limited,NSE,
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,NSE,
SBILIFE.NS,SBI Life Insurance Company Limited,NSE,
HDFCLIFE.NS,HDFC Life Insurance Company Limited,NSE,
TATACONSUM.NS,Tata Consumer Products Limited,NSE,
BAJAJ-AUTO.NS,Bajaj Auto Limited,NSE,
HINDALCO.NS,Hindalco Industries Limited,NSE,
UPL.NS,UPL Limited,NSE,
ADANIGREEN.NS,Adani Green Energy Limited,NSE,
ADANIPOWER.NS,Adani Power Limited,NSE,
AMBUJACEM.NS,Ambuja Cements Limited,NSE,
AUROPHARMA.NS,Aurobindo Pharma Limited,NSE,
BANDHANBNK.NS,Bandhan Bank Limited,NSE,
BANKBARODA.NS,Bank of Baroda,NSE,
BEL.NS,Bharat Electronics Limited,NSE,
BERGEPAINT.NS,Berger Paints India Limited,NSE,
BIOCON.NS,Biocon Limited,NSE,
BOSCHLTD.NS,Bosch Limited,NSE,
CANBK.NS,Canara Bank,NSE,
CHOLAFIN.NS,Cholamandalam Investment and Finance Company,NSE,
COLPAL.NS,Colgate-Palmolive (India) Limited,NSE,
CONCOR.NS,Container Corporation of India Limited,NSE,
DABUR.NS,Dabur India Limited,NSE,
DLF.NS,DLF Limited,NSE,
FEDERALBNK.NS,Federal Bank Limited,NSE,
GAIL.NS,GAIL (India) Limited,NSE,
GODREJCP.NS,Godrej Consumer Products Limited,NSE,
